variant,class_weight,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
unweighted,None,0.9876596083273423,0.0017809299285120592,0.9462340102249449,0.018285957663198574,0.6723744860559137,0.05735215108164839,0.8751087223587224,0.05368978118729538,0.55,0.06944411571256842
class_weight_balanced,balanced,0.9863183265986022,0.00137556228418736,0.9171427293955239,0.007559777984901148,0.6281173522040395,0.04779632919293946,0.8513257575757576,0.04397856143545453,0.5,0.05301557212342393
class_weight_balanced_subsample,balanced_subsample,0.986407732052335,0.0017354898260473638,0.9135556225590991,0.01258013104939367,0.630053013215741,0.06280047745359785,0.8521684459527302,0.04446186128662036,0.5038461538461538,0.0723649527777953
