resampling,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
none,0.9462340102249449,0.018285957663198574,0.6723744860559137,0.05735215108164839,0.8751087223587224,0.05368978118729538,0.55,0.06944411571256842
SMOTE,0.9394330927975973,0.011500124269079811,0.6466918603220424,0.058143577713239906,0.5664163677666189,0.0721376281751164,0.7576923076923077,0.03768445758127968
RandomUnderSampler,0.9480763822664455,0.01294496743722339,0.33215494560329484,0.03618442251740715,0.20508557395310315,0.025567617732133997,0.8807692307692306,0.0352505822688911
