resampling,error_rate_mean,error_rate_std,f1_mean,f1_std,gmean_mean,gmean_std
none,0.012340391672657658,0.0017809299285120594,0.6723744860559137,0.05735215108164839,0.739402749314464,0.047100690771114784
SMOTE,0.019494147461420974,0.0042009817720018395,0.6466918603220424,0.058143577713239906,0.8640074775473815,0.022632573389299655
RandomUnderSampler,0.08361045292099123,0.013154071926630363,0.33215494560329484,0.03618442251740715,0.8986825363470693,0.02191881117273467
